,0
X12_Entrectinib_5_0_uM_,"12_[('Entrectinib', 5.0, 'uM')]"
X12_Erythromycin_5_0_uM_,"12_[('Erythromycin', 5.0, 'uM')]"
X12_Esmolol_hydrochloride_5_0_uM_,"12_[('Esmolol (hydrochloride)', 5.0, 'uM')]"
X12_Estrone_sulfate_potassium_5_0_uM_,"12_[('Estrone sulfate (potassium)', 5.0, 'uM')]"
X12_Fedratinib_hydrochloride_hydrate_5_0_uM_,"12_[('Fedratinib (hydrochloride hydrate)', 5.0, 'uM')]"
X12_Filgotinib_5_0_uM_,"12_[('Filgotinib', 5.0, 'uM')]"
X12_Fingolimod_hydrochloride_5_0_uM_,"12_[('Fingolimod (hydrochloride)', 5.0, 'uM')]"
X12_Flutamide_5_0_uM_,"12_[('Flutamide', 5.0, 'uM')]"
X12_Fulvestrant_5_0_uM_,"12_[('Fulvestrant', 5.0, 'uM')]"
X12_Gefitinib_5_0_uM_,"12_[('Gefitinib', 5.0, 'uM')]"
X12_Idoxuridine_5_0_uM_,"12_[('Idoxuridine', 5.0, 'uM')]"
X12_Imiquimod_hydrochloride_5_0_uM_,"12_[('Imiquimod (hydrochloride)', 5.0, 'uM')]"
X12_Indacaterol_maleate_5_0_uM_,"12_[('Indacaterol (maleate)', 5.0, 'uM')]"
X12_Ivermectin_5_0_uM_,"12_[('Ivermectin', 5.0, 'uM')]"
X12_Ixazomib_citrate_5_0_uM_,"12_[('Ixazomib citrate', 5.0, 'uM')]"
X12_L_Eflornithine_monohydrochloride_5_0_uM_,"12_[('L-Eflornithine (monohydrochloride)', 5.0, 'uM')]"
X12_Lactate_calcium_5_0_uM_,"12_[('Lactate (calcium)', 5.0, 'uM')]"
X12_Loperamide_hydrochloride_5_0_uM_,"12_[('Loperamide (hydrochloride)', 5.0, 'uM')]"
X12_Lopinavir_5_0_uM_,"12_[('Lopinavir', 5.0, 'uM')]"
X12_Malotilate_5_0_uM_,"12_[('Malotilate', 5.0, 'uM')]"
X12_Meloxicam_5_0_uM_,"12_[('Meloxicam', 5.0, 'uM')]"
X12_Methotrexate_5_0_uM_,"12_[('Methotrexate', 5.0, 'uM')]"
X12_Methyl_aminolevulinate_hydrochloride_5_0_uM_,"12_[('Methyl aminolevulinate (hydrochloride)', 5.0, 'uM')]"
X12_Methylthiouracil_5_0_uM_,"12_[('Methylthiouracil', 5.0, 'uM')]"
X12_Nafamostat_mesylate_5_0_uM_,"12_[('Nafamostat (mesylate)', 5.0, 'uM')]"
X12_Neratinib_5_0_uM_,"12_[('Neratinib', 5.0, 'uM')]"
X12_Omeprazole_sodium_5_0_uM_,"12_[('Omeprazole (sodium)', 5.0, 'uM')]"
X12_Omeprazole_5_0_uM_,"12_[('Omeprazole', 5.0, 'uM')]"
X12_Osimertinib_mesylate_5_0_uM_,"12_[('Osimertinib (mesylate)', 5.0, 'uM')]"
X12_Ouabain_Octahydrate_5_0_uM_,"12_[('Ouabain (Octahydrate)', 5.0, 'uM')]"
X12_Oxaprozin_5_0_uM_,"12_[('Oxaprozin', 5.0, 'uM')]"
X12_Panobinostat_5_0_uM_,"12_[('Panobinostat', 5.0, 'uM')]"
X12_Pentoxifylline_5_0_uM_,"12_[('Pentoxifylline', 5.0, 'uM')]"
X12_Perindopril_erbumine_5_0_uM_,"12_[('Perindopril (erbumine)', 5.0, 'uM')]"
X12_Phenylephrine_hydrochloride_5_0_uM_,"12_[('Phenylephrine (hydrochloride)', 5.0, 'uM')]"
X12_Pimozide_5_0_uM_,"12_[('Pimozide', 5.0, 'uM')]"
X12_Pioglitazone_5_0_uM_,"12_[('Pioglitazone', 5.0, 'uM')]"
X12_Piroxicam_5_0_uM_,"12_[('Piroxicam', 5.0, 'uM')]"
X12_Ponatinib_5_0_uM_,"12_[('Ponatinib', 5.0, 'uM')]"
X12_Proglumide_5_0_uM_,"12_[('Proglumide', 5.0, 'uM')]"
X12_Ranolazine_5_0_uM_,"12_[('Ranolazine', 5.0, 'uM')]"
X12_Sunitinib_5_0_uM_,"12_[('Sunitinib', 5.0, 'uM')]"
X12_Talc_5_0_uM_,"12_[('Talc', 5.0, 'uM')]"
X12_Tazarotene_5_0_uM_,"12_[('Tazarotene', 5.0, 'uM')]"
X12_Tirabrutinib_hydrochloride_5_0_uM_,"12_[('Tirabrutinib (hydrochloride)', 5.0, 'uM')]"
X12_Trametinib_5_0_uM_,"12_[('Trametinib', 5.0, 'uM')]"
X12_Uridine_5_0_uM_,"12_[('Uridine', 5.0, 'uM')]"
X12_Valdecoxib_5_0_uM_,"12_[('Valdecoxib', 5.0, 'uM')]"
X12_Vandetanib_5_0_uM_,"12_[('Vandetanib', 5.0, 'uM')]"
X12_Vismodegib_5_0_uM_,"12_[('Vismodegib', 5.0, 'uM')]"
X12_Vitamin_K4_5_0_uM_,"12_[('Vitamin K4', 5.0, 'uM')]"
